@relation 'agaricus-lepiota-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute odor {p,a,l,n,f,c,y,s,m}
@attribute gill-spacing {c,w}
@attribute stalk-surface-above-ring {s,f,k,y}
@attribute veil-color {w,n,o,y}
@attribute edibility {p,e}

@data
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
f,c,k,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
f,c,k,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
f,c,k,w,p
c,w,s,w,p
f,c,k,w,p
p,c,s,w,p
c,w,s,w,p
p,c,s,w,p
p,c,s,w,p
p,c,s,w,p
f,c,k,w,p
p,c,s,w,p
p,c,s,w,p
c,c,s,w,p
f,c,k,w,p
p,c,s,w,p
c,w,s,w,p
p,c,s,w,p
c,w,s,w,p
f,c,k,w,p
f,c,k,w,p
f,c,k,w,p
c,w,s,w,p
c,c,s,w,p
f,c,k,w,p
f,c,k,w,p
f,c,k,w,p
f,c,k,w,p
c,c,s,w,p
c,c,s,w,p
f,c,k,w,p
c,c,s,w,p
f,c,k,w,p
f,c,k,w,p
c,w,s,w,p
c,w,s,w,p
c,w,s,w,p
c,c,s,w,p
c,w,s,w,p
f,c,k,w,p
f,c,k,w,p
f,c,k,w,p
f,c,k,w,p
f,c,k,w,p
f,c,k,w,p
c,w,s,w,p
f,c,k,w,p
c,c,s,w,p
f,c,k,w,p
f,c,k,w,p
c,w,s,w,p
f,c,k,w,p
f,c,k,w,p
c,c,s,w,p
f,c,k,w,p
f,c,k,w,p
c,w,s,w,p
c,c,s,w,p
c,c,s,w,p
c,c,s,w,p
f,c,k,w,p
c,w,s,w,p
f,c,k,w,p
f,c,k,w,p
c,c,s,w,p
f,c,k,w,p
f,c,k,w,p
f,c,k,w,p
f,c,k,w,p
f,c,k,w,p
f,c,k,w,p
f,c,k,w,p
f,c,k,w,p
f,c,k,w,p
f,c,k,w,p
f,c,k,w,p
c,w,s,w,p
c,c,s,w,p
f,c,k,w,p
f,c,k,w,p
c,w,s,w,p
f,c,k,w,p
c,c,s,w,p
c,c,s,w,p
c,c,s,w,p
f,c,k,w,p
c,w,s,w,p
